date,iso_code,c6
2022-05-07,DEU,1.0
2022-05-08,DEU,1.0
2022-05-09,DEU,1.0
2022-05-10,DEU,1.0
2022-05-11,DEU,1.0
2022-05-12,DEU,1.0
2022-05-13,DEU,1.0
2022-05-14,DEU,1.0
2022-05-15,DEU,1.0
2022-05-16,DEU,1.0
2022-05-17,DEU,1.0
2022-05-18,DEU,1.0
2022-05-19,DEU,1.0
2022-05-20,DEU,1.0
2022-05-21,DEU,1.0
2022-05-22,DEU,1.0
2022-05-23,DEU,1.0
2022-05-24,DEU,1.0
2022-05-25,DEU,1.0
2022-05-26,DEU,1.0
2022-05-27,DEU,1.0
2022-05-28,DEU,1.0
2022-05-29,DEU,1.0
2022-05-30,DEU,1.0
2022-05-31,DEU,1.0
2022-06-01,DEU,1.0
2022-06-02,DEU,1.0
2022-06-03,DEU,1.0
2022-06-04,DEU,1.0
2022-06-05,DEU,1.0
2022-06-06,DEU,1.0
2022-06-07,DEU,1.0
2022-06-08,DEU,1.0
2022-06-09,DEU,1.0
2022-06-10,DEU,1.0
2022-06-11,DEU,1.0
2022-06-12,DEU,1.0
2022-06-13,DEU,1.0
2022-06-14,DEU,1.0
2022-06-15,DEU,1.0
2022-06-16,DEU,1.0
2022-06-17,DEU,1.0
2022-06-18,DEU,1.0
2022-06-19,DEU,1.0
2022-06-20,DEU,1.0
2022-06-21,DEU,1.0
2022-06-22,DEU,1.0
2022-06-23,DEU,1.0
2022-06-24,DEU,1.0
2022-06-25,DEU,1.0
2022-06-26,DEU,1.0
2022-06-27,DEU,1.0
2022-06-28,DEU,1.0
2022-06-29,DEU,1.0
2022-06-30,DEU,1.0
2022-07-01,DEU,1.0
2022-07-02,DEU,1.0
2022-07-03,DEU,1.0
2022-07-04,DEU,1.0
2022-07-05,DEU,1.0
2022-07-06,DEU,1.0
2022-07-07,DEU,1.0
2022-07-08,DEU,1.0
2022-07-09,DEU,1.0
2022-07-10,DEU,1.0
2022-07-11,DEU,1.0
2022-07-12,DEU,1.0
2022-07-13,DEU,1.0
2022-07-14,DEU,1.0
2022-07-15,DEU,1.0
2022-07-16,DEU,1.0
2022-07-17,DEU,1.0
